sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,famrel,freetime,goout,health,absences,G1,G2,Grade_Momentum
F,17,R,GT3,T,1,1,other,other,1,1,1,no,yes,no,no,no,yes,5,4,4,5,0,6,6,0
M,15,U,GT3,T,3,4,services,services,1,1,0,yes,no,no,no,yes,yes,5,5,5,5,2,9,9,0
M,18,R,GT3,T,4,2,other,other,2,1,1,no,no,yes,no,yes,no,5,4,3,3,0,7,7,0
M,16,U,GT3,T,4,3,teacher,other,1,2,0,no,yes,yes,yes,yes,yes,3,4,3,3,4,11,10,-1
M,18,U,LE3,T,4,4,services,other,1,1,0,no,yes,no,yes,yes,yes,5,4,5,5,3,17,17,0
F,16,U,GT3,T,3,2,services,at_home,1,1,0,no,no,no,no,yes,yes,3,1,3,3,2,7,6,-1
F,17,U,GT3,T,4,3,health,other,1,3,0,no,yes,no,yes,yes,yes,4,4,3,4,0,11,12,1
F,16,U,GT3,T,3,1,services,other,1,4,0,yes,yes,no,no,yes,yes,4,3,3,5,0,10,9,-1
F,16,U,LE3,T,4,4,teacher,teacher,1,2,0,no,yes,no,no,yes,yes,4,5,2,3,0,11,10,-1
M,15,U,GT3,T,4,4,services,other,1,1,0,no,yes,yes,yes,yes,yes,5,3,3,5,2,12,13,1
F,17,U,LE3,T,1,1,at_home,at_home,1,3,0,no,yes,no,yes,yes,yes,4,3,2,4,10,11,10,-1
F,17,U,GT3,T,3,2,other,other,1,2,0,no,no,no,yes,yes,yes,5,3,4,3,2,17,18,1
F,17,R,GT3,T,4,4,teacher,services,2,2,0,no,yes,yes,yes,yes,yes,4,3,3,5,2,12,12,0
M,17,R,GT3,T,1,3,other,other,3,2,1,no,yes,no,yes,yes,yes,5,2,4,5,14,12,11,-1
F,18,U,GT3,T,1,2,at_home,at_home,2,2,0,no,yes,no,no,no,no,4,1,1,4,0,11,11,0
F,18,R,GT3,T,2,2,at_home,other,2,4,0,no,no,no,yes,yes,no,4,4,4,4,6,14,13,-1
M,19,U,GT3,T,3,2,at_home,services,2,1,3,no,no,no,yes,yes,no,3,2,1,3,4,6,11,5
F,16,U,GT3,T,2,1,other,services,1,2,0,no,yes,no,yes,yes,yes,5,3,3,1,0,14,13,-1
F,18,R,GT3,A,4,3,services,services,1,1,0,no,yes,no,no,yes,yes,5,4,4,2,8,10,11,1
F,16,U,GT3,T,2,2,at_home,other,1,2,1,yes,no,no,yes,yes,yes,3,1,2,5,12,8,10,2
M,15,U,GT3,T,2,2,other,other,1,1,0,no,yes,no,no,yes,yes,4,2,2,5,8,11,12,1
M,17,R,LE3,T,1,2,other,other,1,1,3,no,no,no,no,yes,no,2,2,2,5,14,9,8,-1
M,17,U,LE3,T,4,4,teacher,other,1,2,0,no,yes,no,yes,yes,yes,4,4,4,5,0,11,9,-2
F,15,U,GT3,T,1,2,at_home,services,1,2,0,no,no,no,no,yes,yes,3,2,3,1,0,14,14,0
M,16,U,GT3,T,4,4,services,services,1,1,0,no,no,yes,yes,yes,yes,5,3,2,5,4,14,15,1
F,18,U,LE3,T,1,1,other,other,2,2,0,no,yes,no,no,yes,no,4,4,3,3,2,13,13,0
F,16,U,GT3,T,4,2,health,services,1,2,0,no,no,no,no,yes,yes,4,2,3,3,0,17,17,0
F,17,U,GT3,T,3,3,other,other,1,3,0,no,no,no,yes,yes,no,3,2,3,4,2,15,12,-3
M,16,U,GT3,T,4,4,services,services,1,3,0,no,yes,no,yes,yes,yes,5,3,3,5,0,15,13,-2
M,18,R,GT3,T,1,1,other,other,2,1,1,no,no,no,yes,no,yes,4,4,3,4,0,8,9,1
M,17,U,GT3,T,2,2,other,other,1,1,1,no,no,no,yes,yes,no,1,2,1,5,0,7,0,-7
M,15,U,LE3,A,2,2,other,other,3,4,0,no,yes,no,yes,yes,no,5,4,5,5,8,13,14,1
F,17,U,LE3,A,2,1,other,other,3,1,0,no,yes,no,no,yes,yes,3,2,2,5,8,11,10,-1
F,16,U,GT3,T,3,4,at_home,other,1,2,0,no,yes,no,no,yes,yes,2,4,3,3,14,12,11,-1
F,17,U,GT3,A,1,0,other,other,2,2,0,no,no,no,no,yes,yes,4,4,5,4,1,11,9,-2
F,16,R,GT3,T,0,2,other,other,2,1,0,no,yes,no,yes,yes,no,3,2,3,2,0,12,11,-1
F,18,U,GT3,T,2,3,at_home,services,2,1,0,no,yes,no,no,yes,yes,5,2,3,4,0,10,10,0
M,15,U,GT3,A,3,4,services,other,1,2,0,no,yes,no,yes,yes,yes,5,4,4,1,0,16,16,0
F,15,U,GT3,T,4,4,services,at_home,1,3,0,no,yes,no,yes,yes,yes,4,3,3,5,4,13,14,1
F,18,U,GT3,A,1,2,at_home,other,2,2,2,no,yes,no,no,yes,no,4,3,3,5,2,6,8,2
F,18,R,GT3,T,2,2,other,other,1,2,0,yes,no,no,no,yes,no,3,2,3,5,4,11,11,0
M,17,R,LE3,T,2,2,services,services,3,4,1,no,yes,no,no,yes,no,1,3,5,3,2,10,8,-2
F,18,U,LE3,T,1,1,at_home,services,2,3,0,no,no,no,no,yes,yes,5,3,2,4,0,19,17,-2
